blueTop,blueJungle,blueMid,blueADC,blueSupport,redTop,redJungle,redMid,redADC,redSupport,blueWin
Yorick,Shen,Ryze,Yunara,Poppy,Aurora,JarvanIV,Cassiopeia,Ezreal,Karma,0
Yorick,LeeSin,Neeko,Jhin,Camille,Jayce,JarvanIV,Ryze,Mel,Pantheon,1
Jax,XinZhao,Aurora,Jinx,Lulu,Gnar,Nocturne,Ryze,Yunara,Rakan,0
Ambessa,JarvanIV,Ryze,Kaisa,Blitzcrank,Jax,Viego,Orianna,Ezreal,Bard,1
Ambessa,Ivern,Orianna,Ezreal,Bard,Rumble,JarvanIV,Azir,Varus,Leblanc,1
Vayne,Graves,Galio,Lucian,Neeko,RekSai,Zac,Anivia,Ashe,Seraphine,0
Teemo,Naafiri,Velkoz,Ashe,Camille,Maokai,JarvanIV,Ahri,Draven,Anivia,0
Gangplank,Vi,Aurora,Draven,Blitzcrank,Sion,XinZhao,Xerath,Cassiopeia,Jax,1
Gangplank,FiddleSticks,Anivia,Ashe,Pantheon,Udyr,Ambessa,Ryze,Ezreal,Nidalee,0
KSante,Vi,Orianna,Varus,Nautilus,Skarner,Ivern,TwistedFate,Yunara,Alistar,1
Riven,LeeSin,Orianna,Kaisa,Nautilus,Kennen,Graves,Zed,Seraphine,Rell,1
Warwick,Sylas,Ambessa,Ashe,Lulu,Vayne,Talon,Orianna,Jhin,Seraphine,0
Ambessa,Karthus,Orianna,Ezreal,Poppy,Fiora,RekSai,Aurora,Lucian,Pyke,1
Teemo,Vi,Yone,Kaisa,Leona,Kennen,JarvanIV,Varus,Ezreal,Poppy,1
Sion,LeeSin,Lux,Kaisa,Thresh,Vayne,Nidalee,Mel,Samira,Pyke,1
Gangplank,JarvanIV,Galio,Aphelios,Thresh,Malphite,Graves,Sylas,Kaisa,Maokai,0
Vayne,Jax,Syndra,Ashe,Braum,Gangplank,Briar,Zed,Varus,Janna,0
Mordekaiser,Viego,Viktor,Ezreal,Karma,Vayne,Khazix,Orianna,Sivir,Bard,0
Jax,Ekko,Ryze,Yunara,Lulu,Malphite,Zac,Talon,Lucian,Yuumi,1
Malphite,JarvanIV,Diana,Jhin,Karma,Sylas,Taliyah,Yunara,Ashe,Blitzcrank,0
Kled,Khazix,Taliyah,Caitlyn,Nami,Vayne,Graves,Aurora,Jhin,Karma,1
Rumble,Viego,Galio,Aphelios,Rell,Vayne,LeeSin,Ahri,Yunara,Nautilus,1
Olaf,Gragas,Akali,Yunara,Rakan,Vayne,Shaco,Sion,Ashe,Pantheon,0
Kled,Ekko,Tristana,Ashe,Rakan,Kennen,LeeSin,Ryze,Yunara,Braum,1
KSante,Ambessa,Ryze,Zeri,Braum,Gnar,Vi,Ahri,Aphelios,Pantheon,0
Irelia,Evelynn,Galio,Yunara,Braum,Jax,Zyra,Corki,Ashe,Nautilus,0
Belveth,LeeSin,Aurora,Sivir,Lulu,Jax,Maokai,Qiyana,Jhin,Janna,0
Rumble,Ekko,Qiyana,Jhin,Rell,Jax,LeeSin,Varus,Kaisa,Alistar,0
Udyr,Nidalee,Ryze,Kaisa,Taric,Vayne,Rengar,Mel,Jinx,Shen,0
Nasus,Viego,Zoe,Kalista,Nautilus,Vladimir,XinZhao,Jhin,Nilah,Rakan,1
Jayce,JarvanIV,Akali,Ezreal,Alistar,Vayne,Ambessa,Mel,Sivir,Karma,1
Maokai,Nunu,Pantheon,Cassiopeia,Nautilus,KSante,Lillia,Jayce,Ashe,Seraphine,1
Yone,LeeSin,Lissandra,Yunara,Bard,Sejuani,Vi,Zoe,Corki,Rakan,0
Pantheon,Vi,Ryze,Jinx,Nautilus,Poppy,Hecarim,Annie,Caitlyn,Lux,1
Jayce,Pantheon,Annie,Yunara,Lulu,KSante,Vi,Galio,Varus,Bard,0
Varus,Vi,Galio,Tristana,Elise,Tryndamere,LeeSin,Hwei,Lucian,Yuumi,1
Jayce,Sylas,Yasuo,Ezreal,Pyke,Vayne,LeeSin,Viktor,Ashe,Seraphine,0
Nasus,Karthus,Qiyana,Sivir,Renata,Gwen,XinZhao,Talon,Xayah,Rakan,0
Yone,LeeSin,Aurora,Vladimir,Pantheon,Rengar,Lillia,Zed,Ashe,Seraphine,0
Fiora,Taliyah,Varus,Yunara,Blitzcrank,Yone,LeeSin,Garen,Jhin,Mel,1
Kled,Viego,Zoe,Jhin,Ashe,Irelia,JarvanIV,Ahri,Ezreal,Pyke,0
Udyr,Nidalee,Anivia,Jhin,Alistar,Urgot,Ambessa,Vladimir,Sivir,Thresh,1
Vayne,Nidalee,Sion,Ezreal,Karma,Kalista,LeeSin,Xerath,Varus,Nautilus,1
Ambessa,Hecarim,Orianna,Ashe,Sylas,Poppy,Nidalee,Akali,Ezreal,Anivia,1
Skarner,LeeSin,Viktor,Jhin,Karma,Galio,Shaco,Orianna,Jinx,Soraka,0
Fiora,JarvanIV,Viego,Sivir,Sona,Jax,LeeSin,Galio,Caitlyn,Zilean,0
Gangplank,Nocturne,Viktor,MissFortune,Seraphine,KSante,LeeSin,Akali,Corki,Nami,0
Aatrox,FiddleSticks,Leblanc,Ezreal,Nautilus,Vayne,XinZhao,Viktor,Lucian,Yuumi,0
Sion,JarvanIV,Azir,MissFortune,Karma,Gwen,Naafiri,Ahri,Jhin,Anivia,0
KSante,Khazix,Viktor,Ashe,Nautilus,Gnar,Kindred,Akali,Varus,Pyke,0
Elise,RekSai,Yone,Singed,Rakan,Yasuo,JarvanIV,Ryze,Yunara,Karma,1
Gnar,Ambessa,Vex,Yasuo,Yuumi,Sejuani,Vi,Zoe,Yunara,Maokai,1
Diana,MasterYi,Akali,Ashe,Pyke,Jayce,Pantheon,Talon,Jhin,Swain,0
Ambessa,Udyr,Ryze,Jinx,Karma,KSante,RekSai,Singed,Sivir,Anivia,0
Zaahen,Ambessa,Singed,Ezreal,Alistar,Pantheon,Taliyah,Yasuo,Yunara,Maokai,1
Sion,LeeSin,Ahri,Jhin,TahmKench,Garen,JarvanIV,Hwei,Ezreal,Elise,1
Yorick,Graves,Fizz,Kindred,Taric,Jayce,LeeSin,Annie,Yunara,Lulu,0
KSante,Nocturne,Ahri,MissFortune,Veigar,Sejuani,LeeSin,Orianna,Ezreal,Rell,1
Gnar,LeeSin,Ryze,Kaisa,Poppy,Shen,Taliyah,Ahri,Ashe,Leona,0
Jax,Nidalee,Ahri,Ashe,Alistar,Kennen,LeeSin,Sylas,Twitch,Seraphine,1
Vayne,Poppy,Akali,Yunara,Soraka,Gnar,XinZhao,Qiyana,Vladimir,Leona,0
Olaf,Nunu,Anivia,Swain,Bard,Jax,FiddleSticks,Jayce,Yunara,Lulu,0
Yone,Shyvana,Ryze,Varus,Alistar,Zaahen,Ambessa,Sylas,Sivir,Braum,0
Sion,RekSai,Orianna,Jhin,Karma,Ambessa,FiddleSticks,Jayce,Ezreal,Nautilus,1
Rengar,Karthus,Mel,Sivir,Nautilus,Trundle,Hecarim,TwistedFate,Ezreal,Lux,1
Akali,Kindred,Yasuo,Velkoz,Alistar,Chogath,XinZhao,Vex,Kaisa,Rakan,0
Gnar,Ambessa,Orianna,Velkoz,Pyke,Sylas,RekSai,Vex,Draven,Nautilus,0
Renekton,LeeSin,Ziggs,Ezreal,Pantheon,Zaahen,Diana,TwistedFate,Yunara,Lulu,1
Ambessa,Zyra,Ahri,Ezreal,Maokai,Irelia,Nidalee,Akshan,Lucian,Shen,1
Kennen,RekSai,Cassiopeia,Ezreal,Braum,Camille,Trundle,Ryze,Kaisa,Blitzcrank,1
Shen,Taliyah,Riven,Sivir,Zoe,Mordekaiser,Naafiri,Jayce,Yunara,Neeko,0
Sion,Ambessa,Zoe,Sivir,Aurora,Illaoi,Graves,Galio,Aphelios,Lulu,1
Teemo,Nocturne,Sylas,Sivir,Lulu,Vladimir,Vi,Mel,Draven,Pyke,1
Jayce,Viego,TwistedFate,Ezreal,Karma,Camille,LeeSin,Lissandra,Lucian,Bard,1
Sion,Viego,Viktor,Lucian,Nami,Gangplank,Zyra,TwistedFate,Yunara,Lulu,1
Malphite,Graves,Naafiri,Cassiopeia,Hwei,Jax,JarvanIV,Viktor,Sivir,Alistar,1
KSante,JarvanIV,Taliyah,Ezreal,Thresh,DrMundo,Nidalee,Sylas,Draven,Senna,1
Sion,Hecarim,Kassadin,Kaisa,Karma,Darius,Khazix,AurelionSol,Yunara,Nautilus,0
Tryndamere,Elise,Qiyana,Sivir,Bard,Malphite,LeeSin,Malzahar,Jinx,Thresh,1
Gnar,Vi,Hwei,Jhin,Alistar,Ryze,XinZhao,Qiyana,Kaisa,Nautilus,0
Rumble,Viego,Renekton,Ezreal,Bard,Aurora,XinZhao,Galio,Sivir,Lulu,0
Illaoi,Talon,Zoe,Kaisa,Qiyana,Rumble,Diana,Tristana,Ezreal,Leona,1
Renekton,Jayce,Akshan,Mel,Bard,KSante,Kindred,Ryze,Yunara,Leona,0
Illaoi,Viego,Vex,Draven,Sylas,Akali,Jax,Yone,Ezreal,Elise,0
Kayle,RekSai,Akshan,Lucian,Camille,Jayce,Talon,Lux,Caitlyn,Braum,1
Jayce,Ekko,Qiyana,Jhin,Sylas,Aatrox,LeeSin,Orianna,Ashe,Bard,1
Aatrox,Ekko,Hwei,Samira,Nautilus,KSante,Taliyah,Galio,KogMaw,Lulu,0
Pantheon,Briar,Orianna,Varus,Lulu,Sylas,Kindred,Galio,Smolder,Karma,1
Jax,Vi,Ekko,Ezreal,Lulu,Kennen,LeeSin,Katarina,Ashe,Thresh,1
Olaf,Karthus,TwistedFate,Vayne,Thresh,Sion,Viego,Galio,Jhin,Lulu,1
DrMundo,Pantheon,Malzahar,Ezreal,Elise,Garen,Graves,Viktor,Aphelios,Lulu,0
Ambessa,JarvanIV,Zilean,Kaisa,Sylas,Sion,RekSai,Aurora,Ezreal,Lulu,1
Sion,Ambessa,Ahri,Yunara,Nautilus,Malphite,Sylas,Mel,Aphelios,Lulu,0
Yasuo,RekSai,Vex,Kaisa,Nautilus,Ornn,XinZhao,Ahri,Yunara,Lulu,0
Zaahen,RekSai,Akali,Ezreal,Karma,KSante,Sylas,Malphite,Sivir,Lulu,1
Jax,Graves,AurelionSol,Ezreal,Karma,Ryze,Hecarim,TwistedFate,Ashe,Lulu,0
Jayce,RekSai,Fizz,Ezreal,Karma,MonkeyKing,Zed,Orianna,Ashe,Lulu,1
Aatrox,Skarner,Ekko,Jhin,Xerath,Jayce,LeeSin,Sylas,Jinx,Lulu,1
Vayne,Nidalee,Ahri,Kaisa,Rell,Draven,Graves,Galio,Jhin,Lulu,1
Renekton,LeeSin,TwistedFate,Brand,Nami,Garen,Graves,Zoe,Sivir,Ezreal,1
Sion,Nidalee,Leblanc,Ashe,Pyke,Ambessa,Hecarim,Xerath,Yunara,Lulu,0
Jayce,Zed,Hwei,Ashe,Lulu,Gnar,LeeSin,Aurora,Ezreal,Velkoz,0
Cassiopeia,LeeSin,Leblanc,Kaisa,Ezreal,Gnar,Vi,Nunu,Lucian,Lulu,0
Ambessa,XinZhao,Mel,Xayah,Rakan,Renekton,FiddleSticks,Yasuo,Jhin,Lulu,0
Varus,Pantheon,Orianna,Cassiopeia,Lulu,KSante,Ambessa,Sylas,Jinx,Bard,1
Cassiopeia,XinZhao,Ahri,Aphelios,Braum,RekSai,Morgana,Naafiri,Velkoz,Anivia,1
Aurora,Vi,Orianna,Ashe,Seraphine,Cassiopeia,Viego,Zed,Swain,Anivia,0
Jayce,LeeSin,Orianna,Lucian,Thresh,KSante,Ambessa,Azir,Jinx,Braum,1
Aurora,LeeSin,Orianna,Smolder,Kennen,Cassiopeia,RekSai,Xerath,Lucian,Nami,1
Singed,Talon,Syndra,Jhin,Karma,Cassiopeia,Kindred,TwistedFate,Senna,Nunu,0
KSante,Nidalee,Qiyana,Ezreal,Neeko,Cassiopeia,Khazix,Viego,Caitlyn,Lux,0
Cassiopeia,Pantheon,Akali,Varus,Bard,Sett,LeeSin,Sylas,Caitlyn,Blitzcrank,1
Cassiopeia,Kindred,Anivia,Sivir,Lulu,Renekton,Nidalee,Zed,Mel,Ezreal,1
Zaahen,Zyra,Orianna,Jhin,Lissandra,Cassiopeia,RekSai,Anivia,MissFortune,Nautilus,1
Kennen,LeeSin,Sion,Yunara,Lulu,MonkeyKing,Pantheon,Diana,Zeri,Thresh,1
Zed,Nidalee,Galio,Jhin,Rell,Cassiopeia,RekSai,Pantheon,Sivir,Karma,0
Sion,LeeSin,Zoe,Kaisa,Karma,Cassiopeia,Pantheon,Ryze,Lucian,Nautilus,1
Cassiopeia,Graves,Yasuo,Jinx,Lulu,Irelia,Pantheon,Yorick,Jhin,Karma,0
Sion,LeeSin,Orianna,Varus,Elise,Cassiopeia,Graves,Galio,Sivir,Karma,1
Rumble,Viego,Aurora,Jhin,Braum,Cassiopeia,Ambessa,Sejuani,Kaisa,Nautilus,1
XinZhao,Zac,Syndra,Jinx,Karma,Cassiopeia,Nidalee,Yone,Ashe,Thresh,0
Ambessa,Graves,Ryze,Nilah,Thresh,KSante,LeeSin,Lissandra,Jhin,Neeko,0
Cassiopeia,JarvanIV,Talon,Yunara,Nautilus,Tryndamere,Qiyana,Viktor,Jhin,Leona,0
DrMundo,Kindred,Ahri,Draven,Lulu,Cassiopeia,Malphite,Talon,Caitlyn,Braum,0
Gragas,Ambessa,Sylas,Yunara,Ezreal,Sion,Udyr,Zed,Mel,Rengar,0
KSante,Ivern,Zoe,Ashe,Seraphine,RekSai,Ambessa,Galio,Ezreal,Karma,1
Sion,Ambessa,Annie,Xayah,Rakan,Zaahen,Khazix,Akali,Kaisa,Swain,1
Jayce,Taliyah,Mel,Yunara,Milio,Yasuo,Graves,TwistedFate,Draven,Thresh,0
Draven,Graves,Akali,Jhin,Thresh,Varus,Kindred,Orianna,Yunara,Alistar,0
Galio,Ambessa,Aurora,Yunara,Anivia,Akali,Graves,Vladimir,Sivir,Bard,1
Aatrox,Graves,Akali,Ezreal,Senna,KSante,Pantheon,Viktor,Corki,Braum,0
Yone,Graves,Ahri,Lucian,Nami,Jayce,LeeSin,Anivia,Corki,Lulu,0
Garen,Ambessa,Ahri,Kaisa,Alistar,Darius,Naafiri,Vladimir,MissFortune,Rakan,0
Camille,Graves,AurelionSol,Caitlyn,Bard,KSante,Sylas,Talon,Kaisa,Velkoz,0
Yone,Graves,Yasuo,Cassiopeia,Thresh,Malphite,Kindred,Syndra,Ziggs,Janna,1
Camille,Ambessa,Ahri,Mel,Sylas,Aatrox,Zaahen,Anivia,Varus,Zilean,1
Ambessa,Graves,Yone,Mel,Qiyana,Jax,Nidalee,Xerath,Ezreal,Leblanc,1
Corki,Nidalee,Nocturne,Ashe,Senna,Sion,Viego,Aurora,Zeri,Lulu,0
Urgot,Graves,Orianna,Tristana,Bard,Aurora,Kindred,Malzahar,Jinx,Elise,1
Gangplank,Nidalee,Aurora,Ashe,Pyke,Gwen,Graves,Zoe,Jinx,Lulu,1
Renekton,Nidalee,Naafiri,Ashe,Seraphine,Rumble,Graves,Orianna,Aphelios,Thresh,1
Jayce,Ambessa,Ryze,Yunara,Lulu,Rumble,Graves,Anivia,Kaisa,Poppy,1
Malphite,LeeSin,Anivia,MissFortune,Karma,Zaahen,Hecarim,Neeko,Jinx,Pyke,0
Zaahen,JarvanIV,Ahri,Jhin,Alistar,Rell,Graves,Sylas,Jinx,Braum,1
Anivia,RekSai,Zoe,Yunara,Lulu,Rumble,Skarner,Naafiri,Corki,Nami,0
Belveth,LeeSin,Katarina,Karthus,Nautilus,Ambessa,Talon,Lissandra,Jhin,Swain,1
Teemo,LeeSin,Ryze,Sivir,Pyke,Anivia,Ambessa,Quinn,Ezreal,Karma,1
Vladimir,Graves,Viktor,Aphelios,Rakan,RekSai,Khazix,Galio,Lucian,Shaco,1
Jayce,Zyra,Katarina,Kaisa,Nautilus,Rumble,Viego,Ahri,Yunara,Maokai,1
Anivia,LeeSin,Yasuo,Corki,Alistar,DrMundo,Viego,Sylas,Ezreal,Kennen,1
Darius,Rengar,Annie,Yunara,Karma,KSante,LeeSin,Zoe,Jhin,Anivia,0
Gangplank,Jax,Xerath,Corki,Nami,Jayce,Graves,Ahri,Yunara,Lulu,0
Yorick,JarvanIV,Malzahar,Lucian,Nami,Jayce,Pantheon,TwistedFate,Corki,Alistar,0
KSante,LeeSin,Vex,Jhin,Anivia,Olaf,Elise,Qiyana,Kaisa,Pantheon,1
Gwen,Ambessa,Aurora,Corki,Elise,Olaf,Nasus,Anivia,Sivir,Thresh,1
Jayce,Naafiri,Orianna,Yunara,Rell,Vayne,Sylas,Zoe,Ezreal,Karma,1
Aatrox,Evelynn,Yone,Jhin,Janna,Vayne,Kindred,TwistedFate,Yunara,Lulu,0
Jayce,LeeSin,Viktor,Caitlyn,Lux,Aatrox,Naafiri,Annie,Jhin,Karma,0
Renekton,RekSai,Pantheon,Vladimir,Nami,Gnar,Shyvana,Yasuo,Jinx,Thresh,1
Teemo,Nocturne,Ryze,Twitch,Nautilus,Malphite,Graves,Galio,Draven,Bard,0
Teemo,Nidalee,Jayce,Ezreal,Alistar,Ambessa,Naafiri,Zoe,Sivir,Elise,0
Rumble,Hecarim,Garen,Corki,Nautilus,Jax,LeeSin,Katarina,Xayah,Elise,0
Jayce,Viego,Aurora,Kaisa,Pyke,Qiyana,Graves,Katarina,Aphelios,Shaco,1
Ambessa,Pantheon,Katarina,Caitlyn,Blitzcrank,Yone,Graves,Sylas,Aphelios,Nautilus,0
Jayce,Nidalee,Mel,Aphelios,Swain,Ambessa,Pantheon,Syndra,Yunara,Bard,0
LeeSin,Ambessa,TwistedFate,Lucian,Yuumi,Zaahen,Zyra,Anivia,Tristana,Nautilus,1
Ornn,Nidalee,Talon,Ezreal,Swain,Pantheon,Elise,Azir,Varus,Lulu,0
Zed,Viego,Zilean,Aphelios,Swain,Galio,LeeSin,Malzahar,Jinx,Thresh,1
Skarner,LeeSin,Yasuo,Ashe,Milio,Malphite,Lillia,Zed,Caitlyn,Swain,0
Jayce,Khazix,Ahri,Mel,Blitzcrank,Malphite,Belveth,Sylas,Draven,Amumu,0
Lissandra,Belveth,Jayce,Sivir,Pantheon,KSante,Khazix,Katarina,Ezreal,Poppy,1
Pantheon,LeeSin,Azir,Twitch,Swain,Ornn,Skarner,Lissandra,Jhin,Bard,1
Jayce,Viego,Galio,Senna,Swain,Kennen,LeeSin,Smolder,Sivir,Shen,1
Ryze,Ambessa,Mel,Jinx,Thresh,Rumble,Talon,Lissandra,Draven,Swain,1
Ambessa,Khazix,Galio,Kalista,Shaco,Jayce,Kindred,Taliyah,Yunara,Blitzcrank,1
Yasuo,Nidalee,Ahri,Aphelios,Rakan,Jax,Talon,Zoe,Jinx,Swain,0
Renekton,Nidalee,Malzahar,Smolder,Swain,Sion,Viego,Azir,Zeri,Shaco,1
Jayce,Poppy,Ryze,Jhin,Swain,Gangplank,Belveth,Aurora,Yunara,Lulu,0
Kaisa,LeeSin,Diana,Yunara,Swain,Shyvana,Ambessa,Sylas,Ezreal,Pyke,0
Gwen,JarvanIV,Orianna,Aphelios,Pyke,Volibear,Graves,Xerath,Ashe,Nautilus,1
Nocturne,Pantheon,Aurora,Varus,Rell,KSante,Graves,Galio,Kaisa,Alistar,0
Gwen,Ambessa,Sion,Ezreal,Rell,Anivia,Viego,Aurora,Ashe,Thresh,0
DrMundo,Ambessa,Azir,Aphelios,Thresh,Jax,Viego,Neeko,Ezreal,Anivia,0
Vayne,Shen,Taliyah,Xayah,Anivia,Aurora,Jax,Yasuo,Jhin,Leona,1
Sion,Karthus,Qiyana,Ezreal,Camille,KSante,Nocturne,Vex,Mel,Blitzcrank,1
Yorick,Ambessa,Fizz,Yunara,Lulu,Renekton,Viego,Ahri,Vayne,Rell,0
Yorick,LeeSin,Annie,Sivir,Yuumi,Kennen,Belveth,Orianna,Ezreal,Alistar,0
Renekton,Rengar,Belveth,Ezreal,Anivia,Sion,FiddleSticks,Corki,Kaisa,Rell,1
Kennen,Pantheon,Varus,Ashe,Anivia,Renekton,Ekko,Azir,Yunara,Lulu,1
Yorick,Zyra,Zeri,Jinx,Nautilus,Renekton,Ambessa,Varus,Yunara,Alistar,1
Kennen,Brand,Zed,Xayah,Braum,Renekton,Ambessa,Anivia,Vladimir,Leona,0
Jax,Kindred,Akshan,Ezreal,Rell,DrMundo,Nidalee,Yone,MissFortune,Neeko,0
Ambessa,Viego,Gwen,Jhin,Rumble,Jax,Naafiri,Aurora,Mel,Alistar,0
Renekton,Nidalee,Tristana,Corki,Bard,Ryze,Belveth,Akali,Lucian,Yuumi,1
Renekton,JarvanIV,Mel,Yunara,Elise,Zaahen,Nidalee,Azir,Aphelios,Thresh,1
Renekton,Graves,Viktor,Mel,Shen,Ambessa,Pantheon,Syndra,Seraphine,Poppy,0
Gnar,Nidalee,Viktor,Jhin,Bard,Yorick,Skarner,Sylas,Lucian,Taric,1
Camille,Ivern,Aurora,Yunara,Pantheon,Gnar,JarvanIV,Viktor,Ezreal,Sona,0
Sion,Rengar,TwistedFate,Tristana,Senna,Renekton,Nidalee,Ahri,Yunara,Karma,0
Vayne,Vi,Taliyah,Swain,Alistar,Yasuo,Pantheon,Ahri,Kaisa,Rell,1
DrMundo,Nidalee,Jayce,Ezreal,Bard,Quinn,Vi,Aurora,Yunara,Pyke,0
Sion,Nidalee,Yone,Aphelios,Braum,Fiora,Sylas,Ahri,Swain,Camille,1
Darius,Vi,Ahri,Ezreal,Karma,Jax,Nidalee,Akshan,Yunara,Nautilus,0
Quinn,Nidalee,Vladimir,Kalista,Bard,Aurora,RekSai,Ryze,Yunara,Janna,0
Darius,Nidalee,Yone,Singed,Nautilus,Urgot,Ambessa,Aurora,Jhin,Karma,1
Ambessa,Nidalee,Singed,Jhin,Karma,Poppy,Kindred,Karthus,Ezreal,Nautilus,1
Renekton,JarvanIV,Orianna,Yunara,Swain,Warwick,Ambessa,Brand,Jhin,Leona,1
Vladimir,FiddleSticks,Jayce,Yunara,Alistar,Poppy,Sylas,Orianna,Corki,Swain,1
Poppy,Nidalee,Jayce,Karthus,FiddleSticks,KSante,Briar,Ahri,Lucian,Yuumi,1
Khazix,Taliyah,Corki,Velkoz,Lulu,Sylas,Graves,Leblanc,Ashe,Hwei,1
Jax,Ambessa,Taliyah,Jhin,Blitzcrank,Chogath,Graves,Leblanc,Varus,Galio,0
KSante,Qiyana,Ryze,Ashe,Seraphine,Pantheon,Graves,Ekko,Sivir,Alistar,0
Renekton,Graves,Azir,MissFortune,Rell,Jayce,Qiyana,Ahri,Jhin,Blitzcrank,0
Zaahen,Pantheon,Sylas,Lucian,Elise,Gnar,Karthus,Talon,Velkoz,Nautilus,1
Vayne,Nocturne,Galio,Ezreal,Anivia,Jayce,Vi,Leblanc,Lucian,Braum,0
Zed,Qiyana,Sion,Ziggs,Pyke,Ornn,Naafiri,Anivia,Varus,Elise,1
Rumble,Qiyana,TwistedFate,Varus,Braum,KSante,Graves,Chogath,Tristana,Nautilus,0
Riven,Karthus,Viktor,Jhin,Xerath,Darius,Qiyana,Ahri,Jinx,Thresh,0
Renekton,Karthus,TwistedFate,Jhin,Nautilus,Jayce,JarvanIV,Katarina,Ezreal,Anivia,0
Anivia,Jayce,Zoe,Jhin,Blitzcrank,Renekton,Ambessa,Aurora,Yunara,Lulu,1
Ambessa,JarvanIV,Ryze,Jhin,Elise,Udyr,Talon,Galio,Corki,Leblanc,1
Gnar,Nocturne,Akali,Yunara,Lulu,KSante,Zyra,Naafiri,Corki,Nami,1
Garen,XinZhao,Zoe,Jhin,Sylas,Quinn,Ambessa,Ryze,Xerath,Senna,1
Udyr,LeeSin,Ryze,Sivir,Braum,Garen,Graves,Galio,Draven,Nautilus,1
Ambessa,Zyra,Aurora,Jhin,Nautilus,Renekton,Nidalee,Diana,Yunara,Lulu,0
Zaahen,LeeSin,Azir,Yunara,Lulu,Urgot,Graves,Galio,Cassiopeia,Nautilus,0
Renekton,Lillia,Olaf,Ezreal,Yuumi,Ambessa,Naafiri,Tristana,Swain,Bard,0
Jayce,JarvanIV,Gragas,MissFortune,Bard,Sion,Sylas,Viego,Ashe,Seraphine,1
Sejuani,XinZhao,Ryze,Varus,Syndra,Teemo,LeeSin,Ahri,Jhin,Rammus,1
Jax,Evelynn,Ahri,Sivir,Alistar,Rumble,Vi,Vex,Jhin,Shaco,1
Fiora,JarvanIV,Galio,Karthus,Blitzcrank,Renekton,Ambessa,Aurora,Sivir,Senna,0
Shen,LeeSin,Yone,Mel,Bard,Gnar,Lillia,Ryze,Yunara,Maokai,1
Renekton,Nidalee,Azir,Yunara,Braum,Aatrox,LeeSin,Mel,Ashe,Leona,0
Zaahen,RekSai,Ahri,Yunara,Nautilus,Jayce,Graves,Singed,Jhin,Anivia,0
Lulu,Sylas,Akshan,Yunara,Nautilus,Ambessa,Talon,Galio,Caitlyn,Bard,1
Jayce,Pantheon,Aurora,Kaisa,Anivia,Camille,Graves,Galio,Ezreal,Bard,0
Malphite,Belveth,Naafiri,Ezreal,Anivia,Lissandra,XinZhao,Aurora,Sivir,Lulu,0
Vayne,Nocturne,Mel,Swain,Nautilus,Teemo,Qiyana,Zoe,Varus,Vex,1
Anivia,LeeSin,Yasuo,Caitlyn,Braum,Singed,Nidalee,Akali,Jinx,Nautilus,1
Vayne,Ambessa,Singed,Ezreal,Shen,Darius,JarvanIV,Ryze,Nilah,Anivia,0
Sejuani,Jayce,Azir,Ezreal,Karma,Renekton,LeeSin,Annie,Yunara,Bard,0
Poppy,Khazix,Ryze,Varus,Lissandra,Jayce,Taliyah,Sion,Mel,Nautilus,0
Ambessa,Gwen,Neeko,Corki,Pyke,Vayne,LeeSin,Annie,Yunara,Leona,0
Fiora,JarvanIV,Malzahar,Jhin,Camille,Shen,XinZhao,Ryze,Varus,Karma,1
Skarner,LeeSin,Galio,Corki,Nami,Gnar,XinZhao,Yasuo,Yunara,Lulu,1
Lulu,Ambessa,Ryze,Kaisa,Neeko,Gnar,Briar,Lissandra,Ezreal,Blitzcrank,0
Gnar,XinZhao,Qiyana,Kaisa,Rakan,Yone,Graves,Cassiopeia,Aphelios,Maokai,1
Akali,Graves,Talon,Ashe,Braum,Olaf,LeeSin,Anivia,Ezreal,Xerath,0
Lucian,Vi,Taliyah,Draven,Leona,Jayce,JarvanIV,Leblanc,Twitch,Nautilus,0
Gnar,LeeSin,Xerath,Senna,Karma,Vayne,Ambessa,Aurora,Ezreal,Nautilus,1
Vayne,Khazix,Hwei,Mel,Leona,Malphite,Ambessa,Ryze,Ezreal,Maokai,0
Vladimir,Khazix,Viktor,Ezreal,Karma,Aatrox,XinZhao,Orianna,Varus,Zyra,1
Sion,Graves,Sylas,Varus,Poppy,Gwen,Kindred,Ryze,Kaisa,Alistar,0
Malphite,Nidalee,Yone,Draven,Alistar,Sylas,Jayce,Taliyah,Varus,Annie,1
Irelia,Elise,Gangplank,Ezreal,Bard,Renekton,Fizz,Aurora,Sivir,Karma,1
Gangplank,Graves,Yone,Swain,Nautilus,Jax,RekSai,Malzahar,Corki,Braum,1
DrMundo,XinZhao,Malzahar,Ashe,Cassiopeia,Illaoi,Hecarim,Anivia,Mel,Nautilus,1
Gangplank,Hecarim,Singed,Mel,Seraphine,DrMundo,Vi,Talon,Teemo,Bard,1
Ambessa,Briar,Sylas,Ashe,Nautilus,Jayce,DrMundo,Yasuo,Ezreal,Alistar,0
Gangplank,Maokai,Yasuo,Jhin,Bard,Warwick,Naafiri,Azir,Ashe,Anivia,0
Jayce,XinZhao,Akali,Ashe,Seraphine,Gangplank,LeeSin,Sylas,Yasuo,Rell,0
Ryze,Pantheon,Katarina,Yunara,Senna,Gangplank,Graves,Annie,MissFortune,Karma,1
Fiora,Ivern,Varus,Jhin,Nautilus,Gangplank,Evelynn,Naafiri,Caitlyn,Thresh,1
